エリア,クエスト名,EXP,Gold,星2さや豆,ビスケットの小箱,HPポーション（小）,HPポーション（中）,HPポーション（大）,星1ヘルメット,星1アーマー,星1グローブ,星1ブーツ,中騎士団の衣装,星2光属性武器,星2闇属性武器,星1木属性プチイマージェン,星1水属性プチイマージェン,選択式進化の実バスケット,下級防具強化石,下級アクセ強化石,下級全属性強化石,星1木属性練磨材,星3木属性練磨材,星1水属性練磨材,星2水属性練磨材,星2火属性練磨材,星3火属性練磨材,星4火属性練磨材,星1防具練磨材,星2防具練磨材,星3防具練磨材,星4防具練磨材,星3アクセ練磨材,星4アクセ練磨材,火属性昇級石,木属性昇級石,全属性昇級石,防具昇級石,アクセ昇級石,ベアドル,ガウリオ,イマージェンのたまご,武器のレシピ,防具のレシピ,武器結晶,防具結晶,時の砂,星2宝石箱（ランダム）,輝きの星,ゼリーボトル,コッペパン,★3さや豆,小鉄のピンバッジ,料理素材袋,★3おもちゃボックス,夢の欠片
グレイナス南部,ここはどこ？,2700,500,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,イマージェンのたまご,5400,700,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,王様に会う,8100,700,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,異世界の人間,13500,700,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,汚染されたフォールの森,16200,700,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,ソヨカゼ村の依頼,18900,700,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,エスタバニアの地下水路,21600,700,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,地下水路の魔物,12200,1050,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,地下水路の秘密,12200,1400,,,20,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,エスタバニア城の探索,27000,1400,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
グレイナス南部,エスタバニアの危機,32400,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
